shape_id,mse,mae,rmse,iou,dice,sign_accuracy,surface_mae,surface_sign_accuracy,mesh_vertices,mesh_faces,mesh_components,largest_component_face_fraction
monitor_0001,6.54193208902143e-05,0.004305529873818159,0.008088220842182636,0.6560882286743192,0.7923348736069584,0.9861834490740741,0.00843998696655035,0.8492650685607182,4166,8324,2,0.8664103796251802
monitor_0002,5.579430944635533e-05,0.0040476154536008835,0.007469558622688055,0.8698491979636922,0.9303950274824061,0.9877477575231481,0.007368933875113726,0.8874801901743264,5630,11080,1,1.0
monitor_0003,4.7610796173103154e-05,0.0037783312145620584,0.006900057662278414,0.9167233637229555,0.956552605423825,0.9944661458333334,0.007125228643417358,0.946003176283748,5618,11096,1,1.0
monitor_0004,6.836238753749058e-05,0.004438994452357292,0.00826815515756607,0.8627204030226701,0.9263015551048005,0.9901439525462963,0.00704258494079113,0.9066940592364321,5349,10478,12,0.9557167398358465
monitor_0005,0.0001654983643675223,0.008206403814256191,0.012864616699516773,0.9523057101879087,0.9755702759238968,0.9822591145833334,0.00723826140165329,0.9061226446756485,10585,20980,1,1.0000953288846521
monitor_0006,5.70164957025554e-05,0.0036494473461061716,0.0075509268790483475,0.6652593486127865,0.7989858746830858,0.9849446614583334,0.00798887386918068,0.816495528320636,3899,7724,2,0.9896426721905748
monitor_0007,8.609230280853808e-05,0.004854983650147915,0.009278593584895134,0.8065395095367848,0.8929110105580694,0.9878020109953703,0.00856652483344078,0.8793198025233132,5808,11388,1,1.0007024938531788
monitor_0008,0.00018220786296296865,0.00818291213363409,0.013498439453542233,0.9633227691866669,0.9813187971998475,0.9791757089120371,0.008072739467024803,0.90364419898749,12051,23826,1,1.0005036514731807
monitor_0009,2.206200770160649e-05,0.002483792370185256,0.004697021096944809,0.9231770833333334,0.960054163845633,0.9989330150462963,0.0061641582287848,0.9823247453565009,3097,6132,1,1.0003261578604044
monitor_0010,7.848227687645704e-05,0.004761028103530407,0.00885902252048254,0.7822216316768535,0.8778051144412138,0.9851797598379629,0.00821774173527956,0.8735437080472186,6849,13490,7,0.9962935507783544
monitor_0011,2.6355359295848757e-05,0.002599457511678338,0.00513374712318182,0.6277347694378997,0.771298593879239,0.9899992766203703,0.006061208434402943,0.8683049027794346,4621,9128,1,1.0
monitor_0012,4.3577016185736284e-05,0.0031273027416318655,0.006601288914680481,0.7816455696202531,0.8774422735346359,0.9956325954861112,0.007779608014971018,0.9242006167829898,2890,5764,4,0.9625260235947258
monitor_0013,2.71763201453723e-05,0.00271438155323267,0.005213091149926186,0.8998380754105945,0.9472787044928771,0.9960847077546297,0.007492571137845516,0.9409196343293764,3524,6924,3,0.9919121894858464
monitor_0014,7.327753701247275e-05,0.004476855043321848,0.008560230024158955,0.9029013218056364,0.9489733508082132,0.9894386574074074,0.007424342446029186,0.9130693658827032,7246,14042,1,1.0002848597065945
monitor_0015,6.03251792199444e-05,0.003989663906395435,0.007766928523778915,0.7765195670274772,0.8742032245969253,0.9878653067129629,0.008036932907998562,0.8910124392454074,5855,11698,1,1.0006838775859122
monitor_0016,6.97927680448629e-05,0.0041091968305408955,0.008354206569492817,0.7145067033344792,0.8334837092731829,0.9849808304398148,0.008501979522407055,0.8308493262556146,4723,9276,1,1.0
monitor_0017,5.5469754443038255e-05,0.0037445290945470333,0.007447801996022463,0.8566428671426571,0.9227869099683306,0.9907407407407407,0.008707525208592415,0.9095273264401772,5261,10402,2,0.7519707748509902
monitor_0018,2.6440740839461796e-05,0.0028778640553355217,0.005142055917531252,0.9005046863734679,0.9476479514415781,0.9975043402777778,0.0053485422395169735,0.965400526513727,3340,6542,4,0.9101192295933965
monitor_0019,5.5550986871821806e-05,0.0039661177434027195,0.0074532534927129745,0.900472334682861,0.9476300372803125,0.9919976128472222,0.007864486426115036,0.9201976754827491,5336,10540,1,1.0
monitor_0020,9.612664871383458e-05,0.004713247064501047,0.009804420173168182,0.8555444776780768,0.9221492537313433,0.9882089120370371,0.007955078035593033,0.9060195635816404,6656,12876,3,0.9965827896862379
monitor_0021,6.78186333971098e-05,0.004233163315802813,0.008235206827521324,0.8437895269415634,0.9152774919393565,0.9888328269675926,0.009677279740571976,0.8737187371873719,4305,8564,9,0.9654367118169079
monitor_0022,5.921984484302811e-05,0.003772252704948187,0.007695442996919155,0.5962458594037542,0.747060179847821,0.9900806568287037,0.007524476386606693,0.8464992282867967,4182,8436,3,0.9971550497866287
monitor_0023,6.65424158796668e-05,0.0043161362409591675,0.008157353848218918,0.8624811273276296,0.926163615483348,0.9901168258101852,0.007012299261987209,0.9171910974673829,6441,12762,4,0.9915373765867419
monitor_0024,3.791528433794156e-05,0.002992625581100583,0.00615753885358572,0.7138634348211647,0.8330458778889273,0.9912471064814815,0.008726260624825954,0.8611472330588066,3255,6420,6,0.9619937694704049
monitor_0025,6.903329631313682e-05,0.004489254672080278,0.008308627642691135,0.8770501761632852,0.9344983818770226,0.9908492476851852,0.008041108958423138,0.9116360454943132,5420,10684,2,0.9985024335454886
monitor_0026,5.725180744775571e-05,0.0038148125167936087,0.007566492538899183,0.9408327246165084,0.9695144900263455,0.994873046875,0.00878258515149355,0.9418163160595177,4699,9316,1,1.0006440532417347
monitor_0027,0.0001094102262868546,0.00514858728274703,0.01045993436127901,0.9257246376811594,0.9614299153339605,0.989990234375,0.006720667704939842,0.9189008042895442,7068,13736,9,0.803290623179965
monitor_0028,3.22551277349703e-05,0.0028425080236047506,0.005679359659552574,0.8850707479064395,0.9390318627450981,0.9964011863425926,0.007484770379960537,0.952921693872723,4006,7938,1,1.001259763164525
monitor_0029,4.187643571640365e-05,0.0034709700848907232,0.006471200380474329,0.7009511170095112,0.8241872561768531,0.9877748842592593,0.008087838999927044,0.8842465753424658,4988,9916,17,0.9475594997983058
monitor_0030,5.32583289896138e-05,0.0035086681600660086,0.007297830656170845,0.8041526374859708,0.8914463452566096,0.9905327690972222,0.007077822927385569,0.8946996466431095,4877,9582,4,0.9173450219160927
monitor_0031,4.780999370268546e-05,0.0037159081548452377,0.006914477329701185,0.9056662034892697,0.9504982581220125,0.9944751880787037,0.007749045267701149,0.9289700069751221,4203,8290,2,0.8477683956574186
monitor_0032,4.764851473737508e-05,0.0037908584345132113,0.006902790162712336,0.8781958012887133,0.9351482957060646,0.9894024884259259,0.007849528454244137,0.8843725335438043,4853,9524,1,1.0
monitor_0033,3.269144508522004e-05,0.003277141833677888,0.005717643536627293,0.8523444160272805,0.9202871870397643,0.9921694155092593,0.005890078376978636,0.9138136942675159,4978,9806,1,1.0
monitor_0034,5.245892680250108e-05,0.00388133036904037,0.007242853287607431,0.8772532188841202,0.9346136259716507,0.9922417534722222,0.008405258879065514,0.8770773638968481,3698,7392,1,1.0
monitor_0035,3.544005085132085e-05,0.0030740678776055574,0.005953154526650906,0.8555070883315158,0.9221275345283574,0.9952076099537037,0.006507999263703823,0.9302448012634904,3539,6938,7,0.9083309311040646
monitor_0036,0.00023455011250916868,0.009601051919162273,0.015315028838813305,0.9309584170151121,0.9642449146618015,0.9620768229166666,0.014862741343677044,0.8098111827367074,12152,23890,5,0.9997488488907492
monitor_0037,5.420819798018783e-05,0.003551582572981715,0.007362621836364269,0.8385714285714285,0.9121989121989122,0.9969346788194444,0.007949016988277435,0.948565156029481,3619,7224,2,0.7851605758582503
monitor_0038,7.955791807034984e-05,0.004315824713557959,0.00891952496021986,0.5330500472143531,0.6954111487526948,0.9910572193287037,0.007845723070204258,0.8984463422162774,3467,6924,7,0.9789139225880994
monitor_0039,5.768116170656867e-05,0.0039049345068633556,0.0075948117300868034,0.8946494902394689,0.9443957785842406,0.9879466869212963,0.006636037025600672,0.8969303332560118,5820,11424,4,0.9985994397759104
monitor_0040,6.158638279885054e-05,0.0037356396205723286,0.007847699336707592,0.8782209092401116,0.935162530583712,0.9932906539351852,0.007605767343193293,0.9150867516948179,4688,9246,2,0.9976205926887303
monitor_0041,7.440826448146254e-05,0.004104688763618469,0.00862602237612009,0.8932903423921388,0.9436379855648366,0.9937156394675926,0.007354989182204008,0.9195229272811487,4492,8840,4,0.8984162895927602
monitor_0042,6.078193837311119e-05,0.004410445224493742,0.007796277292072773,0.8230446927374302,0.9029341913736306,0.9885434751157407,0.006048587616533041,0.8984205884710976,6732,13326,4,0.8000900495272399
monitor_0043,7.017642201390117e-05,0.004822850227355957,0.008377136662602425,0.9029996907535306,0.9490276799739993,0.9914912471064815,0.0069145699962973595,0.9085697629226583,5328,10326,9,0.862289366647298
monitor_0044,9.136935841524974e-05,0.005144594237208366,0.009558731690049171,0.8713603173172271,0.931258731152753,0.9870967158564815,0.007380736526101828,0.9023889383256897,7342,14536,1,1.0
monitor_0045,4.694210656452924e-05,0.0034595562610775232,0.006851430982351303,0.32432432432432434,0.4897959183673469,0.9954788773148148,0.008793630637228489,0.9043794224517117,890,1716,18,0.6666666666666666
monitor_0046,3.581836790544912e-05,0.0030920952558517456,0.0059848446398973465,0.8754630948988316,0.9335967178240389,0.9960485387731481,0.006051822565495968,0.9404794333968945,3312,6488,4,0.968557336621455
monitor_0047,6.415417738026008e-05,0.004039223771542311,0.008009630255401134,0.82448352398839,0.9037993636533782,0.9907045717592593,0.008507960475981236,0.9003335691903366,3947,7792,5,0.9525154004106776
monitor_0048,4.853001519222744e-05,0.0032728714868426323,0.006966348737478256,0.8862559241706162,0.9396984924623115,0.9937065972222222,0.0077351233921945095,0.9133897461423593,4040,7972,1,1.0
monitor_0049,4.325709232944064e-05,0.003234405303373933,0.006577012594789267,0.8395967002749771,0.9128051818634778,0.9920880353009259,0.008164772763848305,0.8839830283744365,3868,7728,1,1.0005175983436854
monitor_0050,5.877047442481853e-05,0.004073545802384615,0.007666190154850483,0.8794714792136642,0.9358710562414266,0.9898546006944444,0.0069296169094741344,0.9173973914965736,6843,13572,1,1.0
monitor_0051,3.0515539037878625e-05,0.0027187231462448835,0.005524087231606245,0.5491803278688525,0.708994708994709,0.9940321180555556,0.008487260900437832,0.8688133571854502,2452,4900,2,0.810204081632653
monitor_0052,6.814229709561914e-05,0.004481741692870855,0.008254834450781345,0.8549054704105604,0.9217779386044268,0.9882722077546297,0.007981594651937485,0.9016679302501895,6363,12700,5,0.778267716535433
