shape_id,method,mask_type,k_gmm,lam,k_pca,iou,sdf_error,solve_time_s
monitor_0396,gmm_completion,halfspace,1,1.0,64,0.8145025295109612,0.026168197,0.017897582991281524
monitor_0397,gmm_completion,halfspace,1,1.0,64,0.5963345864661654,0.06632446,0.021514708001632243
monitor_0398,gmm_completion,halfspace,1,1.0,64,0.813563115487914,0.030496709,0.015239541011396796
monitor_0399,gmm_completion,halfspace,1,1.0,64,0.6743215031315241,0.06739094,0.017260292021092027
monitor_0400,gmm_completion,halfspace,1,1.0,64,0.6435439560439561,0.04876241,0.01859933399828151
monitor_0401,gmm_completion,halfspace,1,1.0,64,0.5239234449760766,0.03423911,0.0192183340259362
monitor_0402,gmm_completion,halfspace,1,1.0,64,0.4026548672566372,0.053811308,0.022181499982252717
monitor_0403,gmm_completion,halfspace,1,1.0,64,0.517948717948718,0.054636106,0.014242540986742824
monitor_0404,gmm_completion,halfspace,1,1.0,64,0.04706820901475867,0.058125276,0.019259666005382314
monitor_0405,gmm_completion,halfspace,1,1.0,64,0.7258306100217865,0.07985946,0.02223658302682452
monitor_0406,gmm_completion,halfspace,1,1.0,64,0.6229849193967759,0.035027016,0.01839941699290648
monitor_0407,gmm_completion,halfspace,1,1.0,64,0.11331133113311331,0.044989165,0.026598583004670218
monitor_0408,gmm_completion,halfspace,1,1.0,64,0.47866256049274086,0.05868414,0.020346874982351437
monitor_0409,gmm_completion,halfspace,1,1.0,64,0.7208452908948604,0.032667816,0.014808374980930239
monitor_0410,gmm_completion,halfspace,1,1.0,64,0.2397935241670577,0.037379142,0.02631583300535567
monitor_0411,gmm_completion,halfspace,1,1.0,64,0.5163352272727273,0.029820943,0.014375208003912121
monitor_0412,gmm_completion,halfspace,1,1.0,64,0.0,0.10450707,0.021133208996616304
monitor_0413,gmm_completion,halfspace,1,1.0,64,0.061925199264255056,0.06127805,0.018536958988988772
monitor_0414,gmm_completion,halfspace,1,1.0,64,0.6692869174620999,0.04774305,0.015481540991459042
