k_gmm,component,weight,train_log_lik,val_log_lik
1,0,1.0,-125.66951203143837,-125.8358861093774
2,0,0.09873417721518987,-103.1991952584282,-128.0987911466351
2,1,0.9012658227848102,-103.1991952584282,-128.0987911466351
3,0,0.8481012658227848,-103.16225965153312,-127.9561220704033
3,1,0.010126582278481013,-103.16225965153312,-127.9561220704033
3,2,0.14177215189873418,-103.16225965153312,-127.9561220704033
5,0,0.10126582278481013,-72.292238722773,-127.46623209709354
5,1,0.002531645569620253,-72.292238722773,-127.46623209709354
5,2,0.7873417721518987,-72.292238722773,-127.46623209709354
5,3,0.020253164556962026,-72.292238722773,-127.46623209709354
5,4,0.08860759493670886,-72.292238722773,-127.46623209709354
